OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
13020276,02/03/2013,08:00:00,02/03/2013,09:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,McCamish Pavilion,965,NULL,"Fowler Street, NW",33.781511039305,-84.3935698977523,1
13020277,02/03/2013,11:46:00,02/03/2013,11:56:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,Z4,"Northside Drive, NW and 10th Street, NW",NULL,NULL,NULL,NULL,NULL,1
13020278,02/03/2013,13:07:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Ford Environmental Science & Technology,311,NULL,Ferst Drive NW,NULL,NULL,1
13020279,02/03/2013,13:48:00,NULL,NULL,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAM,Z2,Barnes and Noble Bookstore 172 Z2,48,NULL,Fifth Street NW,33.7768439093347,-84.388907415106,1
13020280,02/03/2013,13:42:00,02/03/2013,13:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,Publix,950,NULL,"Peachtree Place, NW",NULL,NULL,1
13020281,02/03/2013,13:20:00,02/03/2013,14:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Beringause Building,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
13020282,02/03/2013,18:11:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Family Apartments Parking Deck,251,NULL,Tenth Street,33.7815017051097,-84.395021141723,1
13020283,02/03/2013,18:37:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z1,"Spring Street, NW and Fifth Street, NW",NULL,NULL,NULL,33.7768624904263,-84.3899378420188,1
13020284,02/03/2013,19:21:00,02/03/2013,19:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Towers Residence Hall,112,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
13020285,02/04/2013,08:21:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,PUB,Z4,Crecine Residence Hall,900,NULL,"Hemphill Avenue, NW",33.7797961390763,-84.4026102435644,1
13020286,01/17/2013,15:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAM,Z3,Student Services Building,353,NULL,Ferst Drive NW,33.7773819172964,-84.4023865472348,1
13020287,02/04/2013,11:10:00,02/04/2013,11:50:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore,48,NULL,"Fifth Street, NW",33.7768439093347,-84.388907415106,1
13020288,02/04/2013,08:00:00,02/04/2013,13:00:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,770,NULL,"Spring Street, NW",33.7755588705121,-84.388811205367,1
13020289,02/04/2013,14:15:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,770,NULL,"Spring Street, NW",33.7755588705121,-84.388811205367,1
13020290,02/04/2013,14:39:00,02/04/2013,15:24:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments North Building,120,NULL,"North Avenue, NW",33.7712915716627,-84.3913324013709,1
13020291,02/04/2013,16:52:00,02/04/2013,17:20:00,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAMRES,Z2,Glenn Residence Hall   16   Z2,118,NULL,Bobby Dodd Way NW,NULL,NULL,1
13020292,02/04/2013,19:44:00,02/04/2013,20:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Fitten Residence Hall   119   Z4,855,NULL,McMillan Street NW,NULL,NULL,1
13020293,02/04/2013,20:07:00,02/04/2013,20:37:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center   122   Z4,750,NULL,Ferst Drive NW,NULL,NULL,1
13020294,02/04/2013,21:00:00,02/04/2013,22:12:00,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAMRES,Z4,Montag Residence Hall   118   Z4,845,NULL,McMillan Street NW,NULL,NULL,1
13020295,01/29/2013,11:30:00,02/05/2013,11:00:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,770,NULL,"Spring Street, NW",33.7755588705121,-84.388811205367,1
13020296,02/05/2013,08:30:00,02/05/2013,14:00:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,770,NULL,"Spring Street, NW",33.7755588705121,-84.388811205367,1
13020297,02/05/2013,15:00:00,02/05/2013,16:57:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z1,Sigma Phi Epsilon Fraternity,190,NULL,"Fifth Street, NW",33.776923549637,-84.3933272743318,1
13020298,02/05/2013,17:22:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,Z2,Georgia Tech Hotel & Conference Center,800,NULL,"Spring Street, NW",33.7763985841177,-84.388799243222,1
13020299,02/05/2013,19:03:00,02/05/2013,19:49:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Clough Undergraduate Learning Center   166   Z2,266,NULL,Fourth Street NW,33.7758824189085,-84.3942910786335,1
13020300,02/05/2013,11:24:00,02/06/2013,01:37:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building,879,NULL,"Hemphill Avenue, NW",33.7794998804019,-84.4023369408856,1
13020301,02/06/2013,03:28:00,02/06/2013,04:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Ford Enviriornmental Science & Technology  147  Z1,311,NULL,"Ferst Drive, NW",NULL,NULL,1
13020302,02/06/2013,00:06:00,02/06/2013,00:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Fulmer Residence Hall   106   Z4,871,NULL,McMillan Street NW,33.7781982016083,-84.4042016442123,1
13020303,02/05/2013,16:00:00,02/05/2013,17:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,McCamish Pavilion,965,NULL,"Fowler Street, NW",33.781511039305,-84.3935698977523,1
13020304,02/06/2013,08:23:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Klaus Advanced Computing Building,266,NULL,Ferst Drive NW,NULL,NULL,1
13020305,02/06/2013,11:59:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,Prosecution Declined,ONCAM,Z2,Global Learning Cente,84,NULL,Fifth Street NW,33.7768624904263,-84.3899378420188,1
13020306,02/06/2013,16:22:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,33.7794998804019,-84.4023369408856,1
13020307,02/06/2013,11:00:00,02/06/2013,21:45:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z2, Tech Square Parking Deck,770,NULL,"Spring Street, NW",33.7763985841177,-84.388799243222,1
13020308,02/06/2013,20:59:00,02/06/2013,22:08:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Clough Undergraduate Learning Commons,266,NULL,"Fouth Street, NW",NULL,NULL,1
13020310,01/23/2013,NULL,02/06/2013,02:55:00,2605,Fraud – Illegal Use of Credit/Financial Transaction Cards,Inactive,NULL,ONCAM,Z2,East Side Market,649,NULL,"Techwood Drive, NW",NULL,NULL,1
13020311,02/07/2013,13:21:00,02/07/2013,13:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW and Techwood Drive, NW",NULL,NULL,NULL,NULL,NULL,1
13020313,02/07/2013,14:58:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Center,351,NULL,Ferst Drive NW,NULL,NULL,1
13020314,01/15/2013,08:00:00,02/03/2013,08:00:00,2604,Fraud – Impersonation,Inactive,NULL,ONCAMRES,Z1,Crecine Residence Hall,900,NULL,Hemphill Avenue NW,NULL,NULL,1
13020315,02/07/2013,19:05:00,NULL,NULL,2502,Forgery – of Other Object,Inactive,NULL,ONCAM,Z2,Barnes and Noble Bookstore 172 Z2,48,NULL,"Fifth Street, NW",NULL,NULL,1
13020316,02/06/2013,23:00:00,02/07/2013,12:00:00,2317,Larceny – Bicycle,Inactive,NULL,ONCAM,Z2,Delta Chi Fraternity,170,NULL,"Fifth Street, NW",33.7769124757792,-84.3927120400796,1
13020317,02/06/2013,20:00:00,02/07/2013,23:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",33.7794998804019,-84.4023369408856,1
13020318,02/07/2013,23:00:00,02/07/2013,23:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"Techwood Drive, NW @ Bobby Dodd Way, NW",NULL,NULL,NULL,NULL,NULL,1
13020319,02/08/2013,02:35:00,02/08/2013,02:55:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,North Avenue Dining Hall,120,NULL,"North Avenue, NW",NULL,NULL,1
13020320,02/08/2013,12:31:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,"Ferst Drive, NW @ Hemphill Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
13020321,02/08/2013,12:22:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,"Fourteenth Street, NW @ Hemphill Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
13020322,02/08/2013,10:40:00,02/08/2013,12:30:00,2902,Damage to Property – Private,Inactive,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",33.7712915716627,-84.3913324013709,1
13020323,02/08/2013,14:00:00,02/08/2013,14:10:00,2204,Burglary – No Forced Entry – Residence,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z4,Maulding Residence Hall,501,NULL,"Sixth Street, NW",33.7772624904425,-84.4038673691585,1
13020324,02/08/2013,15:40:00,02/08/2013,17:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Student Health Center,740,NULL,"Ferst Drive, NW",33.7754327189981,-84.4025480646915,1
13020325,02/08/2013,17:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Clough Undergraduate Learning Commons,266,NULL,"Fourth Street, NW",33.7758824189085,-84.3942910786335,1
13020326,02/08/2013,17:21:00,02/08/2013,17:21:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"Ferst Drive,NW @ Regents Drive,NW",NULL,NULL,NULL,NULL,NULL,1
13020327,02/08/2013,19:46:00,02/08/2013,20:08:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
13020328,02/08/2013,20:52:00,02/08/2013,21:23:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,"Ferst Drive, NW",NULL,NULL,1
13020329,02/08/2013,13:30:00,02/08/2013,20:30:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,770,NULL,Spring Street NW,33.7755588705121,-84.388811205367,1
13020330,02/09/2013,00:41:00,02/09/2013,01:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Hefner Residence Hall,510,NULL,Eighth Street NW,33.7796545110447,-84.4042260725981,1
13020331,02/09/2013,02:12:00,02/09/2013,02:25:00,2902,Damage to Property – Private,Inactive,NULL,ONCAMRES,Z2,North Avenue Apartments  191  Z2,120,NULL,North Avenue NW,33.7712915716627,-84.3913324013709,1
13020332,02/09/2013,04:25:00,02/09/2013,04:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Harris Residence Hall   11   Z2,633,NULL,Techwood Drive NW,NULL,NULL,1
13020333,02/08/2013,21:00:00,02/09/2013,06:45:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck,770,NULL,Spring Street NW,33.7755588705121,-84.388811205367,1
13020334,02/09/2013,12:24:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Undergraduate Living Center,580,NULL,"Turner Place, NW",NULL,NULL,1
13020336,02/09/2013,20:18:00,02/09/2013,21:39:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments- East Building room 819,120,NULL,"North Avenue, NW",NULL,NULL,1
