OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
17030465,3/8/2017,20:00:00,3/8/2017,20:12:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Amazon Store,86,NULL,Fifth Street NW,NULL,NULL,1
17030511,3/15/2017,0:10:00,3/15/2017,0:33:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Crecine Residence Hall,900,NULL,"Hemphill Avenue, NW",33.7800571,-84.40351893,1
17010185,1/30/2017,20:20:00,1/30/2017,20:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,"5th Street, NW @ Techwood Drive, NW",NULL,NULL,NULL,NULL,NULL,1
17020239,2/7/2017,22:23:00,NULL,NULL,8399,NULL,Closed/Cleared,Prosecution Declined,ONCAMRES,Z1,"North Avenue Apartments, South Building",120,NULL,"North Avenue, NW",33.76932,-84.39182,1
17020284,2/13/2017,14:47:00,2/13/2017,14:47:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library   77   Z2,704,NULL,Cherry Street NW,33.77431732,-84.39572383,1
17020337,2/17/2017,7:30:00,2/17/2017,8:00:00,2317,Larceny � Bicycle,Inactive,NULL,NONCAM,Z2,Beta Theta Pi Fraternity,764,NULL,Fowler Street NW,33.77551971,-84.39447575,1
17030410,3/1/2017,16:45:00,3/1/2017,17:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Motor Pool Building Lot,306,NULL,Tenth Street NW,33.780988,-84.397385,1
17030466,3/8/2017,19:48:00,3/8/2017,21:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Maulding Residence Hall,501,NULL,Sixth Street NW,33.777007,-84.405706,1
17030469,3/9/2017,7:51:00,3/9/2017,8:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,NAA North  191  Z2,120,NULL,North Avenue NW,33.77058,-84.39095,1
17030600,3/28/2017,19:56:00,3/28/2017,20:19:00,3562,Marijuana � Possession of,Closed/Cleared,Prosecution Declined,NONCAM,OFFCAM,"Centennial Olympic Park Drive, NW @ Merritts Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
17040636,4/2/2017,0:04:00,NULL,NULL,3562,Marijuana � Possession of,Closed/Cleared,Cleared by Arrest,NONCLERY,Z2,"North Avenue, NW at Spring Street, NW",NULL,NULL,NULL,NULL,NULL,1
17040687,4/7/2017,22:28:00,4/7/2017,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"Techwood Drive, NW @ Fourth Street, NW",NULL,NULL,NULL,NULL,NULL,1
17040710,4/10/2017,14:05:00,4/10/2017,14:23:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Library,704,NULL,Cherry Street NW,NULL,NULL,1
17040751,4/14/2017,18:00:00,4/15/2017,10:30:00,2317,Larceny � Bicycle,Inactive,NULL,ONCAMRES,Z4,Freeman Residence Hall,835,NULL,"McMillan Street, NW",NULL,NULL,1
